name,esr_code,settlement_name,latitude,longitude,region
Черновская,942001,Черновская,51.9725,113.229722222222,
Черноглазовка (рзд),432580,Черноглазовка,54.3452777777778,74.0391666666667,
Черное Озеро (рзд),650058,Черное Озеро,54.5491666666667,50.4869444444444,
Черноморская,401100,Черноморская,44.7627777777778,39.3658333333333,
Черноморская ( для ОПЗ),424403,Черноморская,44.7627777777778,39.3658333333333,
Черноморская ( для ТИС),400108,Черноморская,44.7627777777778,39.3658333333333,
Черноморская (эксп. для,424600,Черноморская,44.7627777777778,39.3658333333333,
Черноморская (эксп. для,403002,Черноморская,44.7627777777778,39.3658333333333,
Чернореченская,890305,Чернореченская,44.2366666666667,40.9563888888889,
Черноярская,539132,Черноярская,43.6927777777778,44.3491666666667,
Чернухино,503107,Чернухино,60.0330555555556,40.0927777777778,
Чернухино,848011,Чернухино,60.0330555555556,40.0927777777778,
Чернушка,258107,Чернушка,56.7461111111111,53.9302777777778,
Черный,288530,Черный,45.0858333333333,37.3755555555556,
Черный Дор,069237,Черный Дор,57.2386111111111,33.2891666666667,
Черный Мыс,797407,Черный Мыс,51.1008333333333,138.487222222222,
Черный Остров,330403,Черный,45.0858333333333,37.3755555555556,
Черный Отрог,812804,Черный Отрог,51.8847222222222,56.0008333333333,
Чернышевка,976101,Чернышевка,51.9594444444444,35.9847222222222,
Чернышевское,101019,Чернышевское,54.64,22.7333333333333,
Чернышевское (эксп.),101004,Чернышевское,54.64,22.7333333333333,
Чернь,215402,Чернь,54.855,34.7322222222222,
Чернянка,438800,Чернянка,50.9391666666667,37.8063888888889,
Черняховск,100800,Черняховск,54.6308333333333,21.8194444444444,
Черняховск (эксп.),100904,Черняховск,54.6308333333333,21.8194444444444,
Черская,070304,Черская,57.5861111111111,28.3169444444444,
Чертаново,193203,Чертаново,58.3163888888889,42.6358333333333,
Чертково,586203,Чертково,53.4,44.9547222222222,
Чертково (эксп.),580508,Чертково,53.4,44.9547222222222,
Чертолино,064430,Чертолино,56.2038888888889,33.9027777777778,
Черусти,233106,Черусти,55.5475,40.0094444444444,
Чесноковка,326200,Чесноковка,51.6572222222222,54.0866666666667,
Чехов,190506,Чехов,55.1497222222222,37.4669444444444,
ЧЕБОКСАРЫ 2,248410,Чебоксары,56.2897222222222,47.1955555555556,
Чик,852303,Чик,55.0855555555556,82.5091666666667,
Чикшино,287608,Чикшино,64.8927777777778,56.43,
Чилеково,615406,Чилеково,47.8394444444444,43.4980555555556,
Чильчи,908706,Чильчи,55.9941666666667,122.424444444444,
