Четверг 12 мар.2026г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
  364.,Бармашево,О,83 З-Сиб (Р),852229,
  365.,Бармино,О,17 Моск (Р),232516,
  366.,Бармыш,О,57 Грз,574136,
  367.,Баронская,Б,48 Дон (У),506618,
  368.,Баронская,О,84 84-я дорога,848760,
  369.,Баррикадная,О,17 Моск (Р),186159,
  370.,Баррикады,О,61 Прив (Р),610218,
  371.,Барский Кордон,О,58 Ю-Вост (Р),590618,
  372.,Барсовый,О,96 Д-Вост (Р),988113,
  373.,Барсуки,О,13 Бел,141336,
  374.,Барсученко,О,17 Моск (Р),238512,
  375.,Барсучковский,О,51 С-Кав (Р),531338,
  376.,Бартеневка,Б,61 Прив (Р),627916,
  377.,Барышево,П,83 З-Сиб (Р),850064,
  378.,Басаргино,О,61 Прив (Р),610652,
  379.,Басиновка,О,63 Кбш (Р),653821,
  380.,Баскаки,О,32 Ю-Зап (У),348426,
  381.,Баскаковка,О,17 Моск (Р),174823,
  382.,Баскинский,О,76 Сверд (Р),783211,
  383.,Басов Кут,О,35 Льв (У),356668,
  384.,Бастыево,О,17 Моск (Р),215440,
  385.,Батагово,Б,17 Моск (Р),185832,
  386.,Батали,О,13 Бел,160341,
  387.,Баташата,О,76 Сверд (Р),765035,
  388.,Баташевский,О,51 С-Кав (Р),542667,
  389.,Батеево,О,24 Горьк (Р),248711,
  390.,Батманка,О,48 Дон (У),482786,
  391.,Батманка,О,89 89-я дорога,898684,
  392.,Батрадь,О,35 Льв (У),382540,
  393.,Батурки,О,83 З-Сиб (Р),835685,
  394.,Батча,О,13 Бел,131283,
  395.,Батьково,О,17 Моск (Р),212512,
  396.,Батюшково,О,17 Моск (Р),175421,
  397.,Батятыче,О,35 Льв (У),370913,
  398.,Бахметьево,О,58 Ю-Вост (Р),604064,
  399.,Бахмут,О,39 Млд,391801,
  400.,Бахмутовка,О,48 Дон (У),507818,
  401.,Бахмутовка,О,84 84-я дорога,849461,
  402.,Бахчиванджи,О,17 Моск (Р),235618,
  403.,Бачманово,О,17 Моск (Р),233810,
  404.,Бачумово,О,24 Горьк (Р),274237,
  405.,Башкалия,О,39 Млд,397329,
  406.,Башкино,О,17 Моск (Р),183413,
  407.,Башкирское,О,63 Кбш (Р),638412,
  408.,Баштанка,О,40 Од (У),414810,
  409.,Баюновские Зори,О,83 З-Сиб (Р),842176,
  410.,Баян,О,94 Заб (Р),948648,
  411.,Баяндарга,О,94 Заб (Р),943184,
  412.,Беговая,О,17 Моск (Р),198211,
  413.,Бедевля,О,35 Льв (У),385514,
  414.,Бедени (рзд),Б,57 Грз,563080,
  415.,Бедовый,О,94 Заб (Р),951020,
  416.,Безверховичи,О,13 Бел,148655,
